,SampleID,Deseq_SLFN5,Deseq_CALCOCO1,Deseq_TRIM37,Deseq_TIAM1,Deseq_RPS5,Deseq_DYSF,Deseq_CDCP1,Deseq_TBC1D9,Deseq_MEFV,Deseq_KLF2,Deseq_HBA2,Deseq_BRI3,Deseq_SCARNA12,Deseq_FKBP8,Deseq_MKRN1,Deseq_UST,Deseq_MRPL43,Deseq_RPS20,Deseq_SCARNA2,Deseq_JADE2,metabolome_nRPLC_209.0819_5.9,metabolome_nHILIC_740.525_4.5,metabolome_nRPLC_495.2962_9.1,metabolome_nHILIC_447.2749_7.2,metabolome_pRPLC_146.06_3.6,metabolome_pHILIC_132.0766_9,metabolome_nRPLC_539.2489_8.8,metabolome_pRPLC_288.2172_5.1,metabolome_nHILIC_74.0246_9.6,metabolome_pRPLC_269.1382_7.1,metabolome_pRPLC_526.2924_9.8,metabolome_nRPLC_172.098_2.8,metabolome_nRPLC_445.3324_11.4,metabolome_nHILIC_174.056_3.8,metabolome_nRPLC_399.3268_11.1,metabolome_nHILIC_188.0023_1.6,metabolome_pHILIC_154.1225_1.6,metabolome_pHILIC_229.1181_10.5,metabolome_nHILIC_191.0561_8.5,metabolome_nRPLC_227.1289_6.9,proteome_F11,proteome_PSTK,proteome_BTD,proteome_PROZ,proteome_SERPINF2,proteome_IGHA1,proteome_CLEC3B,proteome_KV320_2,proteome_CAMP,proteome_LV743,proteome_KV320.2,proteome_CAPZB,proteome_HV313,proteome_LGALS3BP,proteome_VCL,proteome_PGLYRP2,proteome_HP,proteome_COMP,proteome_ORM2,proteome_C1R,gut_genus_Ruminococcus,gut_genus_Erysipelotrichaceae_incertae_sedis,gut_genus_Clostridium.IV,gut_genus_Dorea,gut_genus_unclassified_Porphyromonadaceae,gut_family_Porphyromonadaceae,gut_genus_unclassified_Clostridiales_Incertae.Sedis.XIII,nares_phylum_Proteobacteria,nares_genus_unclassified_Neisseriaceae,nares_family_Neisseriaceae,nares_order_Neisseriales,nares_order_Bacillales,nares_genus_Staphylococcus,nares_family_Staphylococcaceae,nares_class_Betaproteobacteria,nares_family_Comamonadaceae,nares_family_Propionibacteriaceae,nares_genus_Propionibacterium,IL2,LEPTIN,IL5,IP10,CHEX1,IL12P40,PDGFBB,CHEX4,MIP1B,IFNB,CD40L,GCSF,RESISTIN,label
95,ZTLIFAS-03,0.735073488,-0.584781246,-0.783860866,-0.692055513,-0.732512712,1.083682767,0.27204333,-0.384992985,-0.289700459,-1.126322568,-0.717604576,0.134200993,-0.027662318,0.199338835,-0.019910949,-0.208322591,-0.001862739,0.110513151,-0.519044531,-0.481080371,3.87788273,-0.507675811,-0.211495404,-0.221467902,2.82334766,1.052047823,-0.426656228,-0.245227478,0.67771426,-0.325218096,0.080918602,-0.144328849,0.387468742,1.600122441,0.085185131,-0.783521651,-0.699676532,0.343531314,-0.842925771,-0.642262709,0.063804144,0.447238376,-1.677138234,0.36770013,1.022213154,-0.105102067,-0.25440429,0.09284022,-1.09311391,0.246112944,-0.706594781,0.973271988,-1.476072994,0.246247981,0.841505021,0.21518762,1.062495598,0.152948642,-0.109911187,-0.619149378,-0.799445499,-0.428661041,0.314257273,-0.467348557,-0.425622192,-0.445753517,0.353382907,-0.468330282,-0.438929604,-0.430000988,-0.430000988,0.069636278,0.064046853,0.066324949,-0.438691414,-0.171938011,-0.785763634,-0.785009421,-0.429429749,1.452323673,-0.609679192,-0.915602127,-0.337564807,-0.36091685,-1.114354116,-0.122641268,0.918541388,-0.406385147,-0.324198158,-0.909904493,-0.928633567,0
116,ZW61YGW-05,-0.160036129,-0.584781246,-0.783860866,0.166217176,-0.732512712,-0.585066955,0.400459886,-0.288771968,-0.204718618,-0.06931801,-0.717604576,0.266294046,-0.899657502,-0.906483873,-0.526680304,0.198546369,-0.947872583,-0.78479483,-0.452240067,-1.173254843,-0.152188866,-0.645547839,0.017466267,-0.214919241,-0.767066982,-0.502051371,-0.428427664,-0.55212193,0.097163231,-0.761514865,-0.729642268,-0.157675568,0.248794215,-0.562759144,-0.24887601,-0.618659813,-0.698268742,0.253322248,0.466628594,-0.778899043,-0.199197668,0.282001652,0.347605814,0.284124512,0.187148533,0.501342408,0.087494268,-0.31039992,-1.407832835,0.526472495,-1.22441763,0.983381688,0.89195932,0.331936246,0.290622239,0.507858826,0.900100559,0.891600528,-0.624862724,-0.142816479,-0.669913706,-0.422107979,0.514215123,-1.022901435,-0.435737694,2.120292045,-0.298183856,-0.527343189,-0.438929604,-0.465730645,-0.465730645,-0.718014718,-0.712733586,-0.712757103,-0.47834063,-0.302786237,0.462756236,0.463845892,-0.286242656,-0.116164405,-0.502805029,-1.455258321,-0.160572534,-1.892147114,-0.987801026,0.255326655,-0.837723669,-0.098933183,0.039656769,-0.554574508,-0.542333802,0
19,ZL63I8R-06,0.353695219,-0.584781246,0.432953252,-0.692055513,-0.732512712,-0.585066955,0.469331708,0.314258632,-1.01238624,-1.126322568,0.228416507,-0.989118647,0.129870556,-0.906483873,0.214831142,0.303344016,0.806554974,0.245043291,-1.087149846,-1.173254843,-0.143056754,-0.012555446,-0.400596382,0.014343626,0.216747175,-0.35836712,-0.488912301,-0.555581657,-1.065107457,-0.591576829,-0.879533628,-0.457862278,1.514855436,0.160996019,1.231902323,0.870983854,-0.6972005,-0.365447607,1.612740012,1.343587611,0.379081792,-0.299279723,-0.885056995,-2.753689643,-0.826832088,0.251835671,-0.11666441,0.44998491,-0.744242815,0.393149809,-0.937155925,1.685533818,-0.153114313,0.783290824,-0.18164163,-0.367774953,-0.010054939,1.035384964,-0.412852479,-0.252347207,-0.799445499,-0.456431638,-0.138951856,0.658467223,-0.435737694,-0.754711049,-0.091075012,-0.470671129,-0.430285807,-0.415076221,-0.415076221,-0.31990351,-0.312321135,-0.312457752,-0.415754527,-0.256784783,-0.339707252,-0.338833197,-0.336046862,-0.055873753,-0.574054471,-1.565957027,-0.006382951,-1.892147114,-1.1547434,0.63329458,-0.984079091,-0.208567217,-0.265034755,-0.643407004,-1.203995963,0
69,ZN0JE53-12,-0.151639473,0.620836782,-0.783860866,-0.692055513,0.463005821,-0.585066955,0.413613972,0.2590301,-0.196013677,-1.126322568,-0.717604576,-0.989118647,-0.899657502,-0.131699028,1.172892425,-1.30896762,-0.947872583,-0.157505256,-0.445397089,-0.391348982,-0.125024089,-0.237084801,-0.296792632,-0.194002304,-0.778751674,0.824815566,-0.363388238,-0.511387297,0.014173023,-0.650647781,-1.046233715,-0.546200649,-0.088159036,-0.635571157,0.281757501,3.119201477,-0.69938456,0.582316325,-0.546582963,-0.600760606,-0.568302418,-0.29754108,0.986375135,1.507741809,0.433125798,-0.140815395,-0.152465306,1.405421295,0.76775405,0.847359707,1.986100542,-0.060380272,-1.458061403,0.422046914,0.880592855,0.011750392,0.433896555,-0.229133318,1.306891967,-0.79381055,-0.799445499,0.597166032,-0.506271634,-0.505216208,-0.435737694,0.637018996,-0.417286832,-0.124931697,0.027862295,0.00019614,0.00019614,-0.683342981,-0.675952273,-0.675986179,-0.014648409,-0.301993313,2.079988014,2.081512176,-0.317370285,1.847947325,-0.130229821,-0.242761553,0.191068398,-0.030190417,2.098368089,-0.469111868,-0.345695051,-0.428158786,-0.493998709,-0.642753824,-0.562753592,0
53,ZLZNCLZ-11,0.432216321,0.269951896,-0.783860866,-0.692055513,-0.227445868,-0.585066955,0.563569218,-0.166556063,0.183539804,-1.126322568,-0.717604576,-0.989118647,-0.2413241,-0.906483873,-0.93175079,-0.666538557,-0.233660063,0.134138477,-0.658245293,-0.650681344,-0.12778587,0.383104199,-0.319424044,-0.181971748,0.308550727,-0.761509914,-0.533450336,-0.375455025,-0.085917738,-0.884262005,-0.674322234,0.611501704,0.174550171,-0.030427209,-0.195047281,1.614194083,1.417463637,-0.564187559,-0.865838027,0.381861645,2.410252288,-0.331101597,1.283376662,0.006048108,0.074882253,-0.345475725,1.324603325,0.743003267,0.121510855,0.171248275,1.004358948,-1.260141513,2.179647862,0.743884604,-0.266022729,0.973953744,-1.989965826,0.187637545,0.166303579,0.232628495,-0.537233696,-0.456431638,-0.512016655,-0.949076945,-0.435737694,-0.35230881,-0.417286832,-0.537700383,-0.435828278,-0.46321226,-0.46321226,-0.559594467,-0.55177942,-0.5518484,-0.472883919,-0.428596755,-0.282156692,-0.281267174,-0.261340553,2.009209194,-0.255411133,-0.401890944,0.141717744,-0.116685582,0.234320836,-0.815582466,-0.721408881,-0.472901039,-0.578935763,-0.569271061,-0.851906967,0
153,ZJTKAE3-04,-1.1967239,-0.667202174,-0.545194256,2.569943245,-0.77526484,-0.600423422,-0.592451615,-1.059386579,-0.630817184,0.61246786,0.350370825,-0.519227936,-0.591401678,-0.681297303,-1.700454725,-0.107734796,-0.79429172,-0.898327548,-1.057661677,-0.963054612,-0.558476382,-0.715642798,1.199364914,-0.350689656,-0.667424143,0.742184061,-1.15107737,0.36245386,2.612600676,2.024147537,0.192040459,-1.093275726,-0.578729284,-0.070807837,-0.838659347,-0.025125219,-0.501734169,0.369167493,1.528642337,-0.319043896,-0.281167003,0.283906803,-0.359934963,-0.742564352,0.140124112,-0.42960905,-0.202401504,0.513008356,-1.022668349,-1.267744228,0.086952659,0.267208105,-0.795852064,-0.318781823,-0.841786623,0.282781432,-0.340442477,-0.951959843,-1.076413032,0.20593623,-0.489262311,0.447717481,-0.522164356,3.702580498,-0.401346796,-0.578323374,3.608536019,-0.784392215,-0.597874217,-0.431605134,-0.431605134,0.290516507,0.289443326,0.289334981,-0.410074386,-0.039441762,-0.218209278,-0.21905858,-0.3663963,1.247844845,-0.027808748,-0.431727704,-0.322627183,-0.191648059,-0.29695553,-0.469111868,-0.112388883,-0.453015593,-0.135264562,-0.324328517,0.239053348,1
120,ZWCZHHY-09,-0.939100232,0.624156544,-0.783860866,-0.692055513,1.019675806,-0.585066955,-0.820011371,0.644471558,-0.193338461,-0.449909822,1.433267764,1.953047041,0.088608405,-0.129160093,-1.94986524,-0.854974309,0.124277004,0.469137139,-0.443294094,-1.173254843,-0.152798527,1.000798152,0.030318697,-0.212251046,-0.674721746,0.050207392,0.773132764,-0.26389633,-0.236843948,0.880800173,2.506756429,-0.098508932,0.085188069,-0.500124299,-0.236909127,-0.226531105,-0.69903837,0.388025242,0.30202475,-0.341767845,-0.032373104,-2.951839763,-0.36652147,0.930373035,-0.96574992,2.230867994,-1.293949285,-0.22558335,-0.098377326,1.911606645,-0.610175453,1.272709885,1.195322558,-0.220556684,0.380722155,0.686241593,0.47616546,2.209602472,-0.02813158,-1.13596388,1.314512482,-0.439369702,-0.191810871,-0.937571846,-0.379822695,-0.243190406,-0.417286832,0.360708216,0.714392044,0.686308111,0.686308111,-0.734598946,-0.727416549,-0.727435919,0.667932115,-0.366616573,0.373253842,0.374319451,-0.232909045,0.689724942,-0.291914015,-0.552030024,0.123795978,-0.159309754,0.318705062,-0.56177759,-0.512930752,-0.441254389,-0.523681708,-0.464343798,-1.105881481,0
14,ZKVR426-11,1.352280113,-0.584781246,-0.783860866,-0.692055513,-0.732512712,0.727937934,1.243610012,0.342990513,-1.01238624,-1.126322568,2.072098859,-0.989118647,0.748124341,0.389584323,0.248277889,0.532020718,-0.947872583,-0.78479483,0.466840393,0.134725462,-0.160517205,-0.353868754,-0.470886515,-0.195295431,-0.318847711,-0.536093659,-0.062532606,-0.215469193,0.98660644,-0.411125962,0.956528667,1.419935584,-1.282640615,-0.460303739,-0.910985768,-0.784335458,-0.698135838,1.065627779,-0.748987842,-0.582573118,-0.156417961,0.115890654,-0.502168632,-0.068452525,-0.519375483,0.063708054,-0.985748498,0.775238047,0.153276007,0.137557533,-0.927295078,0.675711067,-0.629020973,-0.684450077,-0.704967965,-0.947208549,0.386359732,0.229086565,-0.759326919,0.320187576,-0.102604979,-0.412553295,-0.160416891,2.269831514,-0.347832676,-0.063183125,-0.341166304,-0.482996856,-0.438929604,-0.466311699,-0.466311699,2.902422772,2.889383511,2.888342545,-0.402507895,-0.428596755,-0.732408653,-0.731910003,-0.317370285,1.73298073,-0.141609941,-0.620693855,0.157420232,-0.053255794,-0.054217191,-0.469111868,-0.206317341,-0.457986955,-0.34311053,-0.373317026,-0.527831687,0
102,ZTMFN3O-07,0.553928682,0.127855624,0.304813384,-0.692055513,-0.732512712,-0.585066955,0.333553984,1.741433275,0.208106776,0.151969939,-0.717604576,0.197472664,1.528317078,-0.181981122,0.655767352,0.093752595,0.051421848,-0.78479483,0.129616083,-1.173254843,-0.160287872,-1.093694066,3.554478572,-0.198689315,-1.129091414,0.736408333,-0.300983204,-0.246119406,-0.666166663,2.162089217,0.778167724,-0.559137986,-0.575282314,-0.832575289,-0.429261513,-0.653728944,-0.70123975,-1.15495628,-0.538217465,-0.069003338,0.016614367,0.595279374,-1.13420322,0.608854276,-0.028746757,0.103958015,-0.400395002,0.824036854,0.503251558,0.952089087,2.04551782,-0.605171476,-1.036875971,-0.48463489,0.563545743,-1.122830848,-0.057175206,1.319120794,0.451476268,-1.194298518,0.564596941,-0.10650893,-0.458607899,-0.563367146,0.080475993,0.525677639,0.159472447,0.564356392,0.767934997,0.753227768,0.753227768,-0.963455897,-0.960957399,-0.960910803,0.73786877,-0.428596755,-0.943350027,-0.944005278,-0.223915283,1.036091798,-0.138215079,-0.600353213,0.535757931,-0.066038008,0.065160726,-0.223731147,-0.164784767,-0.462855995,-0.516790854,-0.294312017,-0.95009725,0
106,ZUPAQVU-07,-0.939100232,-0.584781246,-0.783860866,-0.692055513,-0.732512712,-0.585066955,0.91716679,1.493631356,-1.01238624,-0.176916455,-0.717604576,-0.989118647,-0.899657502,-0.906483873,-0.671554311,1.582273833,-0.947872583,-0.78479483,-0.183440402,-0.07218328,-0.141837018,0.667794335,-0.205722471,-0.192553767,-0.662070981,-0.518793872,-0.467988038,0.198223064,-0.531642313,-0.769688189,0.406680355,-0.732169913,-0.032394723,-0.752298863,0.224903384,0.111586702,0.943212468,-0.291574846,2.556192993,-0.842207005,0.903613597,-0.003151908,-0.708340513,-0.194760697,0.143180764,-0.492283638,-1.349681234,-0.364332397,0.093509453,0.854549776,-0.53885191,0.187783611,-0.593156402,2.381402339,-0.069119255,0.512121873,-0.013729078,-0.870610912,0.599402589,1.490587657,0.456078459,1.546666717,4.798526934,-0.816986824,-0.435737694,-0.41109023,-0.417286832,-0.212236844,-0.058762115,-0.078121678,-0.078121678,-0.483501441,-0.477669795,-0.477759707,-0.078575521,1.319470363,1.264148266,1.264703759,-0.313852899,1.092836268,-0.0869821,0.196979402,0.835574679,0.454320149,0.030897978,-0.39275437,0.87965319,-0.44665479,-0.117121269,-0.221441254,0.113851352,0
