SampleID,Deseq_FLNA,Deseq_LGALS8,Deseq_LYZ,Deseq_PRR26,Deseq_PRKAG1,Deseq_HCFC1R1,Deseq_CASC14,Deseq_LINC01271,Deseq_MNS1,Deseq_CDR1,Deseq_TM6SF1,Deseq_LOC101929680,Deseq_ZNF385A,Deseq_C9orf173,Deseq_DNMBP-AS1,Deseq_C16orf72,Deseq_HLA-DQA1,Deseq_HLTF-AS1,Deseq_DCBLD2,Deseq_RNF157,proteome_C1R,proteome_IGHA2,proteome_LPA,proteome_LV144,proteome_HP,proteome_IGHG4,proteome_APOE,proteome_SAA2,proteome_FCN2,proteome_A2M,proteome_IGJ,proteome_IGHA1,proteome_LGALS3BP,proteome_MBL2,proteome_FCGBP,proteome_MYH7,proteome_APOC4,proteome_BTD,proteome_NPHP3,proteome_SERPINF2,metabolome_nRPLC_299.2227_9.9,metabolome_nRPLC_315.2539_9.7,metabolome_pHILIC_147.1128_11.2,metabolome_pHILIC_154.1225_1.6,metabolome_nRPLC_285.2071_9.2,metabolome_nRPLC_389.2702_10.4,metabolome_pHILIC_189.1233_8.4,metabolome_pRPLC_288.2172_5.1,metabolome_nRPLC_495.2962_9.1,metabolome_nRPLC_172.9914_0.9,metabolome_pRPLC_267.1228_8.3,metabolome_nRPLC_183.1025_5.1,metabolome_nRPLC_309.2073_9.4,metabolome_nHILIC_740.525_4.5,metabolome_pRPLC_315.1341_7.8,metabolome_nHILIC_74.0246_9.6,metabolome_nHILIC_528.2633_6.7,metabolome_nHILIC_188.0023_1.6,metabolome_nRPLC_431.3166_10.4,metabolome_nHILIC_130.0509_8.8,gut_genus_Clostridium.IV,nares_genus_Propionibacterium,nares_family_Propionibacteriaceae,gut_genus_Ruminococcus,gut_genus_Erysipelotrichaceae_incertae_sedis,nares_genus_unclassified_Neisseriaceae,nares_class_Betaproteobacteria,nares_family_Neisseriaceae,nares_order_Neisseriales,gut_genus_Dorea,nares_phylum_Proteobacteria,nares_family_Comamonadaceae,gut_genus_unclassified_Porphyromonadaceae,nares_genus_Staphylococcus,gut_family_Porphyromonadaceae,nares_order_Bacillales,gut_genus_unclassified_Clostridiales_Incertae.Sedis.XIII,nares_family_Staphylococcaceae,IL2,LEPTIN,IL5,IP10,CHEX1,IL12P40,PDGFBB,CHEX4,MIP1B,IFNB,CD40L,GCSF,RESISTIN,label
ZJXC41N-11,0.771053146,0.847575558,-0.869735059,-0.611443941,-0.779554111,-1.817499545,1.526842623,0.263228242,0.249230294,1.014544475,1.88671449,-1.264534969,0.046106936,1.500541406,1.356899726,1.520497877,-0.65673496,-0.448235653,-0.878614662,1.058608543,-0.526464405,0.186066765,1.172997202,0.638624534,0.478055052,-2.489170241,0.361808646,1.396791072,-0.245401201,0.197939446,1.046696409,0.950051483,1.752970666,-1.554688701,0.871564487,-1.856330927,0.072410842,-0.72019654,1.031478999,0.280298731,0.937801726,-0.712827258,-0.218454129,-0.696915775,1.779460759,0.619031066,0.495744518,-0.247570035,0.379222756,-0.262560456,0.08578259,0.016495834,0.598252905,0.014895702,-0.41563306,6.469690805,0.658193614,-0.05761327,0.241298946,-1.460895595,0.007634684,0.98125044,0.984894413,0.932196583,2.528799652,0.416410132,0.499068275,0.456173587,0.456173587,-0.37491146,0.258216464,-0.407980746,-0.435737694,0.170051336,-0.481431142,0.18690701,-0.288894101,0.169778469,-0.429429749,1.452323673,-0.609679192,-0.915602127,-0.337564807,-0.36091685,-1.114354116,-0.122641268,0.918541388,-0.406385147,-0.324198158,-0.909904493,-0.928633567,0
ZK4CK8Y-08,-0.500605232,-0.461631877,-0.132316416,0.601909518,-0.779554111,0.215523413,-0.938542689,0.735899785,0.58731304,-0.291089046,-1.521023143,0.943616496,0.974275829,-0.244032753,-0.165968668,-1.52194321,1.221600955,-0.610163027,1.168374288,-0.478513492,-0.31054094,-0.468133071,0.955900411,0.670410615,-0.352538359,-0.674523843,-1.158702435,-0.383752766,-0.384714171,0.432356953,0.190814484,-0.169014063,0.229736517,-0.646012315,-0.288531512,0.719379706,-0.883943256,-0.770267889,-1.453036375,-0.781077477,-0.627519957,-0.813747046,1.404066557,-0.700780013,-0.655205793,-1.316309825,-0.855334727,8.627964927,0.722508839,-0.732984529,-0.411004631,0.791997478,-0.347561762,1.050838913,-0.714434705,-0.343251532,0.915274715,-0.5563622,-1.398461983,-0.647263532,-0.495004317,-0.9566275,-0.957335616,-0.532067612,-0.400701044,-0.437473507,-0.466463874,-0.456707328,-0.456707328,-0.688328518,4.4952097,-0.386571813,-0.127178077,-0.47986964,2.73819224,-0.484575857,0.085513521,-0.479958932,-0.286242656,-0.116164405,-0.502805029,-1.455258321,-0.160572534,-1.892147114,-0.987801026,0.255326655,-0.837723669,-0.098933183,0.039656769,-0.554574508,-0.542333802,0
ZK4CK8Y-09,-0.300518252,-0.218070976,1.430198035,-0.611443941,-0.01992793,1.050479338,-0.938542689,0.912289044,-0.405690799,-1.16248868,-0.555244639,-0.237084007,0.350001499,-0.723990636,-0.715841588,-0.092161063,1.227430078,0.774074662,-0.525704131,-1.485641066,-0.31382174,-0.579791877,1.256113492,0.716589236,0.204174084,-0.44337083,0.556793148,-0.622452845,-0.700249748,0.851371869,0.121471937,-0.062275519,-0.411442662,-0.547871253,-0.795489099,1.722444642,-0.491868003,-0.859719133,0.03602899,-0.482815554,-0.576922341,-0.816211259,-0.266950423,-0.69876352,-0.59821703,-1.28279434,-1.073849298,3.16591601,0.760840717,-0.456071425,-0.640251687,0.954840741,-0.399227548,-0.625383354,-0.327805378,0.895695648,-0.657902343,-0.117306695,-1.169656051,1.140994028,-0.37938326,-0.656932062,-0.657720677,0.215813197,-0.456431638,-0.438929604,-0.475151431,-0.463516672,-0.463516672,-0.522951247,1.144405937,-0.428596755,-0.416745876,-0.134747588,-0.486632706,-0.142305238,2.11562998,-0.134934362,-0.336046862,-0.055873753,-0.574054471,-1.565957027,-0.006382951,-1.892147114,-1.1547434,0.63329458,-0.984079091,-0.208567217,-0.265034755,-0.643407004,-1.203995963,0
ZKFV71L-05,-0.754408982,-0.00212042,-0.956369407,0.404078789,0.302077592,-0.714205046,-0.938542689,-1.509295357,1.603931362,0.334363944,1.766552191,0.781270816,-0.89310084,-1.408388033,-1.018343895,-0.286135617,-0.731296849,-1.442264468,0.977604539,0.664825733,-0.136940363,-0.137515522,-1.00728727,0.133200721,-0.150614021,-0.033908798,2.305674866,0.088092303,-1.312622577,0.343060607,-0.9285565,0.072816977,-1.180638002,1.519364292,0.474202146,2.74779322,0.3945487,-0.999793086,0.208001924,0.120704586,-0.694168618,1.224891848,-0.799577079,-0.699826034,-0.523480592,-0.75283835,-0.599988385,-0.326661522,-0.350862559,-0.460419331,-0.258412682,-0.478025586,-0.092457776,-0.603984597,-1.083571363,-0.683262864,-1.040249229,0.928997075,-0.710286658,-0.788205913,1.660186139,2.794873046,2.793392702,1.115505515,-0.228246436,-0.438442652,-0.459946191,-0.461448998,-0.461448998,-0.473829624,-0.498208663,-0.264987576,4.974090538,-0.368368685,0.521150853,-0.373295401,0.09910568,-0.368412945,-0.317370285,1.847947325,-0.130229821,-0.242761553,0.191068398,-0.030190417,2.098368089,-0.469111868,-0.345695051,-0.428158786,-0.493998709,-0.642753824,-0.562753592,0
ZKFV71L-07,0.0180491,-0.528454293,-1.437829193,2.101106274,-0.779554111,-0.567569952,-0.938542689,-0.146487684,-0.433127735,1.065303188,0.928653382,-0.389339266,-0.89310084,-1.408388033,-0.481052774,0.139465327,-0.555603185,-1.724529833,0.434228523,0.515038226,-0.274006579,-0.590069858,-0.983358799,-0.09275602,-0.175641154,-0.165675142,2.837507493,-2.767535304,-0.72669289,0.451841177,-1.239667668,-0.331677185,-1.395477801,1.134812608,0.184231541,1.851987048,0.239828575,-0.728633069,0.094144418,0.416510254,-0.679403483,0.91265464,-0.286818031,0.787817969,-1.102387516,-1.082831723,-0.17988189,-0.021689268,-0.420111515,-0.694931196,-1.398193502,-0.626325277,-0.242297837,-0.752490596,-0.945178054,-0.931854305,-1.189569549,-0.342117858,-0.585065398,-0.135529201,0.361284909,2.804069807,2.802351565,-0.277629876,-0.443805006,-0.41573106,-0.456714453,-0.443127272,-0.443127272,-0.394959863,-0.405280372,-0.428596755,1.79562228,-0.813267328,-0.183668169,-0.798434192,-0.373472466,-0.813262449,-0.261340553,2.009209194,-0.255411133,-0.401890944,0.141717744,-0.116685582,0.234320836,-0.815582466,-0.721408881,-0.472901039,-0.578935763,-0.569271061,-0.851906967,0
ZKFV71L-09,-0.086228437,-0.333560496,-0.290438907,0.12338184,0.003107702,-0.984288336,0.355859802,-1.509295357,0.694823468,-1.16248868,0.525070677,0.511506717,-0.317135791,-1.408388033,-1.008205188,-0.060703459,-0.845830961,0.239013358,0.732152455,0.136949824,-0.579606506,-0.342289609,-0.990375759,0.036551955,0.048279725,0.10166561,2.782222328,0.238105603,-0.922549061,-0.108100485,-0.762091841,0.142698832,-0.58157745,1.996168842,0.964585892,-2.295555508,0.695383931,0.099468651,0.72846894,0.090203249,-0.28746921,0.644206892,-0.442783551,0.815281305,0.658354627,0.142792165,0.592339903,-0.309821018,-0.251629048,-0.178621768,0.005457325,0.590410777,-0.19690945,-0.737726068,-0.742016273,-0.138228273,-0.994067807,2.742719933,-0.023924412,0.168702111,-0.04958823,2.492496302,2.490861749,-0.799445499,-0.307428599,-0.438929604,-0.47099432,-0.465106845,-0.465106845,-0.91419158,-0.496176835,-0.023217291,2.160404435,-0.588990015,-0.050088026,-0.592210826,-0.331044631,-0.589048485,-0.3663963,1.247844845,-0.027808748,-0.431727704,-0.322627183,-0.191648059,-0.29695553,-0.469111868,-0.112388883,-0.453015593,-0.135264562,-0.324328517,0.239053348,0
ZKFV71L-12,1.45038144,1.227342091,1.352026651,1.585217995,1.560107151,-0.858422565,0.198595609,0.899255156,1.559227293,-0.380633719,0.339403624,2.200103671,0.46696379,1.565200784,2.507823453,0.630631987,1.518692011,-1.061571791,1.241788865,0.005278635,-0.345519635,0.047180082,-0.662298205,0.288165851,-2.806664397,-0.061261401,3.021647906,0.634330359,-0.906070313,0.150384127,-0.880824465,0.186630781,-0.693253262,1.41892359,0.63451253,1.190716186,0.556519057,0.949752045,-1.610399639,0.434704262,-0.598870029,2.012925363,0.101577101,-0.694958826,-0.579247966,-1.087172394,-0.505975528,2.501124753,-0.388964086,-0.639157965,0.133934913,-0.769272293,1.118459034,-0.826725356,-0.646445535,-0.460650465,-1.109886115,-0.346102557,-0.824095552,-0.763800653,0.348963118,3.959589669,3.957561053,0.029646623,-0.409888916,-0.434752664,-0.475286884,-0.461789428,-0.461789428,-0.35347299,-0.500742734,-0.428596755,6.515082385,-0.936948336,0.653131414,-0.941795775,-0.320368345,-0.936908521,-0.232909045,0.689724942,-0.291914015,-0.552030024,0.123795978,-0.159309754,0.318705062,-0.56177759,-0.512930752,-0.441254389,-0.523681708,-0.464343798,-1.105881481,0
ZKFV71L-2011,-0.647391324,-0.547796727,0.001734036,0.327076802,-0.779554111,1.149895427,-0.938542689,-0.624836192,-0.334596581,-1.16248868,0.535433633,-0.596239201,-0.89310084,-1.408388033,-2.114029639,-1.52194321,-0.762716336,0.768576465,-0.143392946,-0.074638202,-0.149627519,-0.183257695,-0.838001726,0.193680735,0.046768051,0.03104851,3.307328588,0.212536558,-0.421118476,0.672075876,-0.912730301,0.237297513,-0.84222179,0.908915006,0.678517116,1.023017632,0.942398978,0.765869637,0.512186843,0.412652655,-0.849840237,1.099908913,1.592497255,0.080367222,-0.756440307,-0.988243721,-0.189293599,-0.063071587,-0.291734911,-0.384180538,-0.365989451,-0.608836231,-0.412036003,-0.837688561,-0.597694781,-0.629441811,-0.985869803,-0.636714403,-0.643715029,-0.094899107,-0.247969371,2.797045707,2.800032727,-0.799445499,-0.456431638,-0.426991992,-0.445864575,-0.450972679,-0.450972679,-0.824815979,-0.503379823,0.21037399,3.327408584,-0.894609606,0.803723697,-0.897470788,-0.163637703,-0.894581751,-0.317370285,1.73298073,-0.141609941,-0.620693855,0.157420232,-0.053255794,-0.054217191,-0.469111868,-0.206317341,-0.457986955,-0.34311053,-0.373317026,-0.527831687,0
ZKFV71L-6011,1.531673445,-4.389471991,-1.437829193,-0.611443941,-0.779554111,1.212906041,-0.938542689,-1.509295357,0.07301399,1.9383644,-3.353776819,-2.311908837,-0.89310084,-1.408388033,-0.009707647,1.73940614,-1.145665423,1.607748596,0.89446685,-2.853531326,0.795947334,0.242025985,-1.11949523,-1.884916841,-0.588573153,-0.52690794,1.943726585,-1.547867317,-0.673233395,0.899658418,-0.587687111,0.255555618,-1.405959765,1.670146058,1.523108452,0.668045957,-0.180594908,-0.062295701,-0.216983804,-0.331530484,-0.42391833,1.350258744,0.756977715,-0.689331838,-0.653666064,-1.029442822,0.124425111,2.836226986,-0.310712324,-0.418226234,0.559352565,0.109796848,2.89185129,-0.214945141,-1.030166974,-0.890357336,-0.850383797,-0.460982441,-0.661926057,-0.022160689,-0.499468906,2.894039948,2.89229754,-0.797413075,-0.419910306,-0.437915359,-0.430022136,-0.42813167,-0.42813167,-0.13750057,-0.457705005,1.276615494,-0.435737694,-0.917931478,-0.45852226,-0.849189121,-0.417286832,-0.917897035,-0.223915283,1.036091798,-0.138215079,-0.600353213,0.535757931,-0.066038008,0.065160726,-0.223731147,-0.164784767,-0.462855995,-0.516790854,-0.294312017,-0.95009725,0
ZKFV71L-6021,-0.380415799,-0.361443033,-0.239685622,1.558508808,-0.779554111,-2.521184114,-0.938542689,-1.509295357,0.836803964,1.040869011,-0.004700639,0.36977,-0.89310084,0.234066174,-1.640946229,-0.71286827,-1.145665423,-1.333113175,0.615123217,0.142094767,-0.415467504,-0.812867604,-0.878225434,-0.063250291,-0.025250156,0.053203182,3.220800665,0.293052306,-1.079739328,0.857211551,-1.063462401,-0.006569491,-0.547252659,2.101495336,0.598666665,1.063021267,0.811220938,-0.858432624,0.612903491,1.039047495,0.475826146,1.424741362,0.00304307,-0.69739983,-0.116637186,-1.093384242,0.059023151,2.402183054,-0.420610728,-0.057818417,-0.832936494,-0.2511059,-0.395466871,0.043903081,-0.697454139,0.632801532,-0.998281376,-0.351920655,-0.377326671,0.223802063,0.459156472,1.532720646,1.531343889,0.883812112,-0.420669502,-0.436662975,-0.477372025,-0.464046448,-0.464046448,-0.151080649,-0.511978606,-0.428596755,2.077281503,1.073057824,0.111914447,1.059689359,-0.355308916,1.072529895,-0.313852899,1.092836268,-0.0869821,0.196979402,0.835574679,0.454320149,0.030897978,-0.39275437,0.87965319,-0.44665479,-0.117121269,-0.221441254,0.113851352,0
