SampleID,Deseq_ABHD1,Deseq_ABLIM1,Deseq_ACADVL,Deseq_ACAT2,Deseq_ACOT8,Deseq_ACPT,Deseq_ACSM3,Deseq_ACTB,Deseq_ACTG1,Deseq_ACTL10,Deseq_ADAR,Deseq_ADCY3,Deseq_ADD3,Deseq_AEBP1,Deseq_AGAP2,Deseq_AGER,Deseq_AHNAK,Deseq_AHR,Deseq_ALG1,Deseq_ALG1L9P,proteome_HPR,proteome_PROZ,proteome_SERPINF2,proteome_FCGBP,proteome_TGFBI,proteome_CPB2,proteome_IL1RAP,proteome_SAA1,proteome_VCL,proteome_KV320.2,proteome_CFHR2,proteome_KV139,proteome_ORM2,proteome_IGHD,proteome_DBH,proteome_APOC4,proteome_PRG4.1,proteome_IGHG4,proteome_LV144,proteome_C1R,metabolome_nRPLC_299.2227_9.9,metabolome_nRPLC_209.1184_8.2,metabolome_nHILIC_296.0378_11,metabolome_nRPLC_315.2539_9.7,metabolome_nRPLC_155.0713_4.9,metabolome_pRPLC_526.2924_9.8,metabolome_pHILIC_189.1233_8.4,metabolome_nRPLC_287.2227_10.2,metabolome_nRPLC_227.1289_6.9,metabolome_pRPLC_169.0971_1.6,metabolome_nRPLC_215.1288_6.8,metabolome_nRPLC_432.1927_8.8,metabolome_nRPLC_131.0714_1.6,metabolome_nRPLC_243.1601_8,metabolome_nHILIC_191.0561_8.5,metabolome_pHILIC_200.128_6.8,metabolome_nHILIC_241.087_1.1,metabolome_nRPLC_567.3177_9.2,metabolome_nHILIC_218.1032_6.5,metabolome_nRPLC_283.1088_9.6,gut_genus_Clostridium.IV,nares_genus_Propionibacterium,nares_family_Propionibacteriaceae,gut_genus_Ruminococcus,gut_genus_Erysipelotrichaceae_incertae_sedis,nares_genus_unclassified_Neisseriaceae,nares_class_Betaproteobacteria,nares_family_Neisseriaceae,nares_order_Neisseriales,gut_genus_Dorea,nares_phylum_Proteobacteria,nares_family_Comamonadaceae,gut_genus_unclassified_Porphyromonadaceae,nares_genus_Staphylococcus,gut_family_Porphyromonadaceae,nares_order_Bacillales,gut_genus_unclassified_Clostridiales_Incertae.Sedis.XIII,nares_family_Staphylococcaceae,IL2,LEPTIN,IL5,IP10,CHEX1,IL12P40,PDGFBB,CHEX4,MIP1B,IFNB,CD40L,GCSF,RESISTIN,label
ZJXC41N-11,0.214984693,0.470553345,1.534827207,-0.183571628,0.002757171,0.880905002,0.284429078,0.701475532,0.442276782,1.697237939,-0.258098152,0.640350175,0.270402164,1.526679284,1.520257546,0.038402422,0.869139797,-1.1054107,-0.265363229,0.941170402,2.547516729,-0.490841929,0.280298731,0.871564487,-3.7208808,-1.376837087,0.758110115,0.33387895,-3.50978936,-0.565385793,0.576512384,1.750400776,-0.127404939,-0.442338431,-0.205921446,0.072410842,-0.187224207,-2.489170241,0.638624534,-0.526464405,0.937801726,-0.481783795,0.466368167,-0.712827258,-0.56681772,-0.707680144,0.495744518,-0.069039256,-0.195222674,1.66732071,-0.643155096,0.082855518,-0.474791993,-0.158167886,-0.780468281,0.383723843,-0.681834726,-0.68798269,0.102036761,-0.319804116,0.007634684,0.98125044,0.984894413,0.932196583,2.528799652,0.416410132,0.499068275,0.456173587,0.456173587,-0.37491146,0.258216464,-0.407980746,-0.435737694,0.170051336,-0.481431142,0.18690701,-0.288894101,0.169778469,-0.429429749,1.452323673,-0.609679192,-0.915602127,-0.337564807,-0.36091685,-1.114354116,-0.122641268,0.918541388,-0.406385147,-0.324198158,-0.909904493,-0.928633567,0
ZK4CK8Y-08,0.260189621,-0.750250943,-0.629377166,0.19578695,0.433212389,-1.4818183,0.957509579,-0.326233455,0.221847191,-0.938023409,-0.249631845,-0.771888095,-0.448666555,-1.827334876,-0.526030135,0.545472248,0.090744139,-1.087304956,-0.410786715,0.755715545,0.489742415,0.841158772,-0.781077477,-0.288531512,1.109039941,-0.449048315,-0.423100698,-0.286895383,-1.330317188,0.20644912,0.566048494,0.656642619,-1.199231314,-0.295814219,-0.396747442,-0.883943256,-0.862234927,-0.674523843,0.670410615,-0.31054094,-0.627519957,0.004793124,-0.434078534,-0.813747046,0.52283967,1.713644872,-0.855334727,0.598362859,-0.229400371,-1.228851291,1.063412586,-0.974845963,0.356450916,-0.636586893,-0.173096437,-0.900349848,-0.2504217,1.71699302,0.545363341,-0.387062989,-0.495004317,-0.9566275,-0.957335616,-0.532067612,-0.400701044,-0.437473507,-0.466463874,-0.456707328,-0.456707328,-0.688328518,4.4952097,-0.386571813,-0.127178077,-0.47986964,2.73819224,-0.484575857,0.085513521,-0.479958932,-0.286242656,-0.116164405,-0.502805029,-1.455258321,-0.160572534,-1.892147114,-0.987801026,0.255326655,-0.837723669,-0.098933183,0.039656769,-0.554574508,-0.542333802,0
ZK4CK8Y-09,1.534920109,-0.287339309,-0.448804389,1.341817312,0.233872947,-1.77662981,1.14658151,-0.074732799,0.069121939,-1.364815814,-0.040664415,0.133694152,0.139179524,-1.271244935,-0.911050082,0.430032522,0.22575718,-0.040903097,1.067550629,-0.767181432,0.202591002,0.307801122,-0.482815554,-0.795489099,0.430377234,-0.2231738,-0.763343712,-0.419976116,-3.622642097,-0.857035042,0.369451028,0.663182948,-0.220565651,-0.161748826,-1.074464962,-0.491868003,-0.390158241,-0.44337083,0.716589236,-0.31382174,-0.576922341,0.197017388,-1.304215308,-0.816211259,-0.404538182,1.460271429,-1.073849298,0.115930975,-0.247928241,-0.740556836,0.36369363,-0.712449762,1.983527577,-0.560527239,-0.289636306,-1.033628717,-0.624897661,0.27208588,0.845231446,-0.167574959,-0.37938326,-0.656932062,-0.657720677,0.215813197,-0.456431638,-0.438929604,-0.475151431,-0.463516672,-0.463516672,-0.522951247,1.144405937,-0.428596755,-0.416745876,-0.134747588,-0.486632706,-0.142305238,2.11562998,-0.134934362,-0.336046862,-0.055873753,-0.574054471,-1.565957027,-0.006382951,-1.892147114,-1.1547434,0.63329458,-0.984079091,-0.208567217,-0.265034755,-0.643407004,-1.203995963,0
ZKFV71L-05,-1.150594399,-0.091111077,-1.818331979,0.063969662,0.198478956,-0.481187753,-0.203805581,-0.043093072,-0.474587876,-0.57730207,-0.012562257,-0.952851567,0.317400238,-1.035518421,0.414599513,-1.459948141,-0.132124314,0.548772552,-1.019329259,0.135643388,0.553232555,0.497129836,0.120704586,0.474202146,0.000840581,-0.461801296,0.116497905,0.299365416,-1.879678269,-1.2898599,0.436010494,0.589884195,0.229836397,2.587811224,0.64132836,0.3945487,-0.548974868,-0.033908798,0.133200721,-0.136940363,-0.694168618,-0.527263858,-0.758430897,1.224891848,-0.140669348,-0.416199628,-0.599988385,0.904006763,-0.45596747,-0.98444476,-0.531872083,-0.921347877,-1.054228676,-0.523889666,0.26373648,-0.659877033,0.835456019,-0.265669311,-0.274781916,-1.035052765,1.660186139,2.794873046,2.793392702,1.115505515,-0.228246436,-0.438442652,-0.459946191,-0.461448998,-0.461448998,-0.473829624,-0.498208663,-0.264987576,4.974090538,-0.368368685,0.521150853,-0.373295401,0.09910568,-0.368412945,-0.317370285,1.847947325,-0.130229821,-0.242761553,0.191068398,-0.030190417,2.098368089,-0.469111868,-0.345695051,-0.428158786,-0.493998709,-0.642753824,-0.562753592,0
ZKFV71L-07,-0.658024619,-0.750250943,0.560889079,-1.908081084,-1.57265576,0.396305128,-0.843917388,0.288176952,0.398599919,-0.739409587,-0.930092594,-0.048762872,-1.209366864,0.591350887,0.628052536,0.023008053,-0.740308758,0.01014119,-1.316732971,0.629258183,1.384774774,-0.436709476,0.416510254,0.184231541,0.424368448,-1.230347993,0.169436628,0.18800315,-3.574195096,-1.486553881,0.636426407,-1.735350729,0.269071481,2.523632622,0.778813949,0.239828575,0.03850849,-0.165675142,-0.09275602,-0.274006579,-0.679403483,-0.559838776,0.024123591,0.91265464,0.061646681,-0.246007247,-0.17988189,0.167527845,-0.61376602,-0.331464072,-1.001977485,-0.708051374,-0.985807164,-0.931185468,0.379637335,-0.496523754,-0.616264793,-0.444374376,-0.510706304,-0.824363036,0.361284909,2.804069807,2.802351565,-0.277629876,-0.443805006,-0.41573106,-0.456714453,-0.443127272,-0.443127272,-0.394959863,-0.405280372,-0.428596755,1.79562228,-0.813267328,-0.183668169,-0.798434192,-0.373472466,-0.813262449,-0.261340553,2.009209194,-0.255411133,-0.401890944,0.141717744,-0.116685582,0.234320836,-0.815582466,-0.721408881,-0.472901039,-0.578935763,-0.569271061,-0.851906967,0
ZKFV71L-09,-1.710075232,-0.750250943,-1.091591019,-0.304175929,-0.277619414,-0.360931696,0.506060514,-0.62821788,0.006907035,0.410483828,0.154810759,-0.502652696,-0.432442986,-0.561288482,-0.894401063,-1.264459668,0.308872433,-1.056389063,-0.078884875,0.424055103,1.143759388,0.438138791,0.090203249,0.964585892,0.09500945,-0.91094694,0.580296978,0.65111972,-1.00178142,-1.21981312,0.72888657,-1.493577103,0.676449418,2.596529021,0.511056812,0.695383931,0.158663754,0.10166561,0.036551955,-0.579606506,-0.28746921,-0.620040451,0.200344716,0.644206892,0.066560643,0.122721189,0.592339903,0.55664137,0.773933399,0.314923376,0.974783414,-0.271355606,-0.619455809,0.311408656,0.366596786,0.1378536,0.09799764,1.146399625,-0.392371726,-0.920078256,-0.04958823,2.492496302,2.490861749,-0.799445499,-0.307428599,-0.438929604,-0.47099432,-0.465106845,-0.465106845,-0.91419158,-0.496176835,-0.023217291,2.160404435,-0.588990015,-0.050088026,-0.592210826,-0.331044631,-0.589048485,-0.3663963,1.247844845,-0.027808748,-0.431727704,-0.322627183,-0.191648059,-0.29695553,-0.469111868,-0.112388883,-0.453015593,-0.135264562,-0.324328517,0.239053348,0
ZKFV71L-12,1.392050617,0.675524582,1.860049926,0.530189341,1.156172489,0.6917049,-0.072296065,1.330981764,0.993463316,1.29487426,1.217850313,1.212785965,1.361591255,1.159023072,0.733696281,1.774092809,1.818273607,0.007129268,-0.076645601,0.278975427,1.115328357,0.509967894,0.434704262,0.63451253,-2.273750629,-0.473352083,0.767525466,0.757547098,0.765882954,0.43271266,0.772320611,-0.118140255,-0.038839579,2.638144406,0.708197847,0.556519057,0.152784323,-0.061261401,0.288165851,-0.345519635,-0.598870029,-0.720159559,-0.045521709,2.012925363,1.622022796,1.091074703,-0.505975528,0.256040523,-0.402056828,-1.19110189,1.235892239,-1.027858165,-1.095856378,-0.724793805,-0.189691435,0.313812406,1.433381013,-1.339911993,2.65396218,-1.163015403,0.348963118,3.959589669,3.957561053,0.029646623,-0.409888916,-0.434752664,-0.475286884,-0.461789428,-0.461789428,-0.35347299,-0.500742734,-0.428596755,6.515082385,-0.936948336,0.653131414,-0.941795775,-0.320368345,-0.936908521,-0.232909045,0.689724942,-0.291914015,-0.552030024,0.123795978,-0.159309754,0.318705062,-0.56177759,-0.512930752,-0.441254389,-0.523681708,-0.464343798,-1.105881481,0
ZKFV71L-2011,-1.046606781,-0.141090342,-0.489147568,0.445560928,0.511727683,-1.423608915,0.219723429,-0.913607665,-0.31429825,-0.007003803,-0.403760779,-2.575931271,-0.250169792,-1.827334876,-0.282302118,-0.333647741,-0.373983237,-0.718494655,-0.36007703,-2.105583598,0.987893923,-0.196540833,0.412652655,0.678517116,-0.088700473,-0.3619604,0.114280537,0.753365075,0.91161937,-1.670217823,0.920820704,0.408762942,0.137946173,2.553961574,0.684892015,0.942398978,0.182515854,0.03104851,0.193680735,-0.149627519,-0.849840237,-0.415903744,-0.159425988,1.099908913,0.056361285,-0.087426022,-0.189293599,0.458520965,-0.597439204,-0.186101903,-0.713521838,-0.15918074,-0.843993242,-0.654938128,-0.071680282,-0.077537048,-0.119765782,0.188113146,1.93658299,-0.554592558,-0.247969371,2.797045707,2.800032727,-0.799445499,-0.456431638,-0.426991992,-0.445864575,-0.450972679,-0.450972679,-0.824815979,-0.503379823,0.21037399,3.327408584,-0.894609606,0.803723697,-0.897470788,-0.163637703,-0.894581751,-0.317370285,1.73298073,-0.141609941,-0.620693855,0.157420232,-0.053255794,-0.054217191,-0.469111868,-0.206317341,-0.457986955,-0.34311053,-0.373317026,-0.527831687,0
ZKFV71L-6011,1.076209289,-0.750250943,-1.521360923,-3.130844321,-3.645094035,1.364224161,0.718755688,1.625497141,-1.277189793,1.710965284,-0.930092594,-0.785934782,0.859796053,-1.827334876,-1.460070443,-2.3473679,0.507112895,0.191378969,0.227930442,-3.141578394,1.422471971,0.591285536,-0.331530484,1.523108452,1.060414579,1.739622356,-0.099629927,0.362321771,0.377762299,1.358486185,0.767688629,-1.743815893,-0.658382014,2.807400697,0.610633688,-0.180594908,0.474774517,-0.52690794,-1.884916841,0.795947334,-0.42391833,-0.379168128,-0.766139431,1.350258744,1.573521274,0.059538527,0.124425111,0.075307962,-0.410857902,0.08180128,-0.696997391,-0.553758542,-1.481090354,-0.518577845,-0.252343105,0.565138663,0.447997568,-0.220865053,1.513210336,-0.570165643,-0.499468906,2.894039948,2.89229754,-0.797413075,-0.419910306,-0.437915359,-0.430022136,-0.42813167,-0.42813167,-0.13750057,-0.457705005,1.276615494,-0.435737694,-0.917931478,-0.45852226,-0.849189121,-0.417286832,-0.917897035,-0.223915283,1.036091798,-0.138215079,-0.600353213,0.535757931,-0.066038008,0.065160726,-0.223731147,-0.164784767,-0.462855995,-0.516790854,-0.294312017,-0.95009725,0
ZKFV71L-6021,-0.280241543,-0.055017736,-1.17639294,-0.788868825,-0.551618412,-0.008748233,-0.497873655,-0.540015047,-0.43755468,-0.121738455,0.0297739,-0.629554962,-0.53783158,-0.992159943,0.485364792,-0.138966888,-1.229542886,-1.845123819,-1.076941898,-1.252244205,1.18039689,-0.485547249,1.039047495,0.598666665,-0.651854752,-0.954630738,0.841285665,0.029290942,0.965879577,-0.613932496,0.696150761,-1.761676416,-0.010190493,2.676506377,0.44012435,0.811220938,-0.209986492,0.053203182,-0.063250291,-0.415467504,0.475826146,-1.059605806,0.070450344,1.424741362,-0.046641145,0.199739382,0.059023151,-0.88632263,-0.466904375,-0.190448813,-0.859993411,-0.23248736,-1.525831269,-0.614664729,0.55827292,-0.461098407,2.695638251,-0.356359138,2.590090807,-0.699577442,0.459156472,1.532720646,1.531343889,0.883812112,-0.420669502,-0.436662975,-0.477372025,-0.464046448,-0.464046448,-0.151080649,-0.511978606,-0.428596755,2.077281503,1.073057824,0.111914447,1.059689359,-0.355308916,1.072529895,-0.313852899,1.092836268,-0.0869821,0.196979402,0.835574679,0.454320149,0.030897978,-0.39275437,0.87965319,-0.44665479,-0.117121269,-0.221441254,0.113851352,0
