SampleID,Deseq_AHNAK,Deseq_HLA-E,Deseq_RPL3,Deseq_UBC,Deseq_RPS20,Deseq_IQGAP1,Deseq_LCP1,Deseq_RPS24,Deseq_RPL23,Deseq_EEF2,Deseq_SNORD17,Deseq_ANXA6,Deseq_RMRP,Deseq_RPL6,Deseq_PSAP,Deseq_TMSB10,Deseq_EEF1A1,Deseq_RPL32,Deseq_ANXA1,Deseq_LYZ,proteome_HV313,proteome_APOE,proteome_CAPZB,proteome_CLU,proteome_IGHG4,proteome_A2M,proteome_CFHR2,proteome_IL1RAP,proteome_IGHA2,proteome_HPR,proteome_PROZ,proteome_HP,proteome_PLTP,proteome_LV743,proteome_C6,proteome_CD14,proteome_CAMP,proteome_SAA1,proteome_KV320.1,proteome_FCN2,metabolome_nRPLC_463.3428_11,metabolome_nRPLC_437.3271_10.7,metabolome_nRPLC_393.3013_10.7,metabolome_nRPLC_461.3269_10.7,metabolome_nRPLC_445.3323_11,metabolome_nRPLC_507.3686_10.6,metabolome_nRPLC_389.2702_10.4,metabolome_nRPLC_439.3427_10.9,metabolome_nRPLC_445.3324_11.4,metabolome_nRPLC_453.3223_9.8,metabolome_nRPLC_435.3115_10.4,metabolome_nRPLC_399.3268_11.1,metabolome_nRPLC_473.3632_11.4,metabolome_nRPLC_377.2696_10.5,metabolome_nRPLC_351.254_10.3,metabolome_nRPLC_299.2228_9.3,metabolome_nRPLC_313.2385_10.3,metabolome_nRPLC_155.0713_4.9,metabolome_nHILIC_277.2171_1,metabolome_pHILIC_188.128_8,nares_family_Neisseriaceae,nares_order_Neisseriales,nares_class_Betaproteobacteria,nares_genus_unclassified_Neisseriaceae,nares_phylum_Proteobacteria,nares_family_Staphylococcaceae,nares_genus_Staphylococcus,nares_order_Bacillales,gut_genus_unclassified_Porphyromonadaceae,gut_genus_Clostridium.IV,nares_family_Comamonadaceae,gut_genus_Dorea,gut_genus_Ruminococcus,gut_family_Porphyromonadaceae,gut_genus_Erysipelotrichaceae_incertae_sedis,nares_family_Propionibacteriaceae,nares_genus_Propionibacterium,gut_genus_unclassified_Clostridiales_Incertae.Sedis.XIII,IL5,IL2,IL12P40,LEPTIN,PDGFBB,CHEX4,GCSF,MIP1B,IFNB,CD40L,IP10,CHEX1,RESISTIN,label
ZJXC41N-11,0.869139797,0.730813907,0.53731624,0.742223352,0.881048707,0.687935248,-0.008706078,0.597803097,0.598272903,0.84364976,1.392242045,1.085028603,0.844100992,0.619815779,0.491005431,0.221215163,0.750585966,1.346942094,-0.816345874,-0.869735059,0.035485686,0.361808646,0.196363379,0.339980597,-2.489170241,0.197939446,0.576512384,0.758110115,0.186066765,2.547516729,-0.490841929,0.478055052,0.517878175,1.497115234,1.049969894,0.844221155,0.720784452,0.33387895,-0.108709456,-0.245401201,0.18136855,0.040632815,0.506711422,0.743582965,-0.213950793,1.078997374,0.619031066,-0.443467053,0.153385837,0.483307501,1.026518823,-0.141973204,0.028803949,0.444717538,2.376069966,-0.266196748,0.200636001,-0.56681772,1.229791268,-0.329436636,0.456173587,0.456173587,0.499068275,0.416410132,0.258216464,0.169778469,0.170051336,0.18690701,-0.435737694,0.007634684,-0.407980746,-0.37491146,0.932196583,-0.481431142,2.528799652,0.984894413,0.98125044,-0.288894101,-0.609679192,-0.429429749,-0.36091685,1.452323673,-1.114354116,-0.122641268,-0.909904493,0.918541388,-0.406385147,-0.324198158,-0.915602127,-0.337564807,-0.928633567,0
ZK4CK8Y-08,0.090744139,-0.766625024,-0.406291626,-0.885036076,-0.78479483,0.418740731,0.184906206,-0.223285741,-0.085922581,-0.052316321,-0.446283719,0.417739845,-0.378572225,-0.640252789,0.174191626,-0.489194802,-0.382331463,-1.041273562,-0.000838923,-0.132316416,-0.871057882,-1.158702435,-0.244851927,-0.117946801,-0.674523843,0.432356953,0.566048494,-0.423100698,-0.468133071,0.489742415,0.841158772,-0.352538359,0.607129121,-0.263996146,-0.001896998,0.754299906,0.617607333,-0.286895383,0.415454904,-0.384714171,-1.610198518,-1.431538009,-1.628854747,-1.565617629,-1.276832184,-1.312167555,-1.316309825,-1.521127106,-1.303621241,-1.331448764,-1.540327892,-0.921595397,-1.185558942,-1.375546622,-1.225921402,-0.771779032,-0.6176134,0.52283967,3.950541762,-1.006670702,-0.456707328,-0.456707328,-0.466463874,-0.437473507,4.4952097,-0.479958932,-0.47986964,-0.484575857,-0.127178077,-0.495004317,-0.386571813,-0.688328518,-0.532067612,2.73819224,-0.400701044,-0.957335616,-0.9566275,0.085513521,-0.502805029,-0.286242656,-1.892147114,-0.116164405,-0.987801026,0.255326655,-0.554574508,-0.837723669,-0.098933183,0.039656769,-1.455258321,-0.160572534,-0.542333802,0
ZK4CK8Y-09,0.22575718,0.568166728,-0.274921507,-0.324490155,-0.392864051,0.806997336,1.042862676,-0.299130687,0.136356669,-0.249834988,-0.446283719,0.008579215,-0.166352244,0.168635773,0.403262183,0.480971368,-0.655799053,0.180108297,-0.336998338,1.430198035,-0.921234558,0.556793148,1.423935723,0.216882838,-0.44337083,0.851371869,0.369451028,-0.763343712,-0.579791877,0.202591002,0.307801122,0.204174084,0.995031405,-0.33288718,0.212921087,1.068381467,0.297639425,-0.419976116,0.144251713,-0.700249748,-1.535324554,-1.420096873,-1.54935656,-1.491353014,-1.127765466,-1.279404919,-1.28279434,-1.4671299,-1.344490976,-1.284638707,-1.337897089,-0.927748864,-1.299368157,-1.325829442,-1.263689733,-0.556709735,-0.945341264,-0.404538182,-0.371579168,-0.996422059,-0.463516672,-0.463516672,-0.475151431,-0.438929604,1.144405937,-0.134934362,-0.134747588,-0.142305238,-0.416745876,-0.37938326,-0.428596755,-0.522951247,0.215813197,-0.486632706,-0.456431638,-0.657720677,-0.656932062,2.11562998,-0.574054471,-0.336046862,-1.892147114,-0.055873753,-1.1547434,0.63329458,-0.643407004,-0.984079091,-0.208567217,-0.265034755,-1.565957027,-0.006382951,-1.203995963,0
ZKFV71L-05,-0.132124314,-0.347051617,-0.870853245,-0.885036076,-0.78479483,0.079838737,0.028191362,-0.297140351,-0.809730614,-0.862554659,-0.446283719,0.26157491,-0.333784452,-0.640252789,-0.525434043,-0.538727694,0.57752757,-0.199439461,0.283280178,-0.956369407,-1.002737541,2.305674866,1.609229253,0.165937676,-0.033908798,0.343060607,0.436010494,0.116497905,-0.137515522,0.553232555,0.497129836,-0.150614021,0.836479078,0.005773948,0.690686252,-0.772154045,0.133033438,0.299365416,0.326116089,-1.312622577,-1.03879899,-1.13005293,-1.081120617,-1.108520999,-0.975916106,-1.032173621,-0.75283835,-1.068887715,-0.98002125,-0.716938121,-0.976039825,-0.86860922,-0.342412929,-0.82892449,-0.599585438,0.382636473,-1.218245305,-0.140669348,0.317470625,-1.252082424,-0.461448998,-0.461448998,-0.459946191,-0.438442652,-0.498208663,-0.368412945,-0.368368685,-0.373295401,4.974090538,1.660186139,-0.264987576,-0.473829624,1.115505515,0.521150853,-0.228246436,2.793392702,2.794873046,0.09910568,-0.130229821,-0.317370285,-0.030190417,1.847947325,2.098368089,-0.469111868,-0.642753824,-0.345695051,-0.428158786,-0.493998709,-0.242761553,0.191068398,-0.562753592,0
ZKFV71L-07,-0.740308758,-0.2720245,-0.24944843,0.555098704,-0.78479483,-0.975341387,-0.458673593,0.334210479,-0.809730614,-0.001208562,-0.446283719,-0.704004808,0.446796161,-0.640252789,-1.331712948,-0.283742256,0.156876654,-0.297188668,-0.816345874,-1.437829193,-1.529218974,2.837507493,-1.323186436,-0.353273975,-0.165675142,0.451841177,0.636426407,0.169436628,-0.590069858,1.384774774,-0.436709476,-0.175641154,-0.2175226,-0.040066809,-0.278485891,-1.725732404,0.637060712,0.18800315,-0.515712185,-0.72669289,-1.361753844,-1.36209374,-1.358612471,-1.362487708,-1.114151997,-1.183062831,-1.082831723,-1.332629173,-1.094305342,-1.091994239,-1.226283659,-0.98353194,-1.15071452,-1.181909701,-1.083427523,0.273731556,-1.587460002,0.061646681,-0.898365347,-0.987661229,-0.443127272,-0.443127272,-0.456714453,-0.41573106,-0.405280372,-0.813262449,-0.813267328,-0.798434192,1.79562228,0.361284909,-0.428596755,-0.394959863,-0.277629876,-0.183668169,-0.443805006,2.802351565,2.804069807,-0.373472466,-0.255411133,-0.261340553,-0.116685582,2.009209194,0.234320836,-0.815582466,-0.569271061,-0.721408881,-0.472901039,-0.578935763,-0.401890944,0.141717744,-0.851906967,0
ZKFV71L-09,0.308872433,-0.176618327,-0.251626571,0.013082895,-0.103788082,0.004042387,-0.218272077,-0.734430156,-0.371381179,-0.225512485,-0.446283719,-0.270326366,-0.268593795,-0.147963431,-0.139039888,-0.465525769,-0.157949921,-0.403635788,0.016553516,-0.290438907,-1.27150105,2.782222328,-0.661334848,-0.513070681,0.10166561,-0.108100485,0.72888657,0.580296978,-0.342289609,1.143759388,0.438138791,0.048279725,0.060941886,-0.140672865,0.442633436,-0.918981208,1.14056186,0.65111972,-0.118754051,-0.922549061,-0.48568469,-0.243041025,-0.225051776,-0.376805607,-0.871347271,-0.489915702,0.142792165,0.082869775,-1.076451545,-0.993081823,0.299850628,-0.950258811,-0.864318625,0.091485437,0.279465288,0.258218968,-0.437205161,0.066560643,-0.649396838,-0.679551013,-0.465106845,-0.465106845,-0.47099432,-0.438929604,-0.496176835,-0.589048485,-0.588990015,-0.592210826,2.160404435,-0.04958823,-0.023217291,-0.91419158,-0.799445499,-0.050088026,-0.307428599,2.490861749,2.492496302,-0.331044631,-0.027808748,-0.3663963,-0.191648059,1.247844845,-0.29695553,-0.469111868,-0.324328517,-0.112388883,-0.453015593,-0.135264562,-0.431727704,-0.322627183,0.239053348,0
ZKFV71L-12,1.818273607,0.90653841,0.870184018,1.569496891,1.141418994,1.494663599,1.401649622,1.07000267,0.714876404,1.288197087,1.292320211,1.25219232,1.05734093,1.268933125,1.434455375,0.816801966,1.323301725,1.580687894,0.660052504,1.352026651,-1.323701083,3.021647906,-0.44260487,-0.538051369,-0.061261401,0.150384127,0.772320611,0.767525466,0.047180082,1.115328357,0.509967894,-2.806664397,-1.398707057,0.10612484,0.445667918,-1.515495476,1.11869485,0.757547098,-0.108067817,-0.906070313,-0.947716324,-1.002890199,-0.986409753,-1.224903762,-0.863500455,-1.128996051,-1.087172394,-0.768992462,-0.873291926,-0.973385805,-1.272973141,-0.839366542,-0.810505469,-0.679718334,-1.132660355,2.988098103,-0.313052758,1.622022796,0.826408608,-0.531916528,-0.461789428,-0.461789428,-0.475286884,-0.434752664,-0.500742734,-0.936908521,-0.936948336,-0.941795775,6.515082385,0.348963118,-0.428596755,-0.35347299,0.029646623,0.653131414,-0.409888916,3.957561053,3.959589669,-0.320368345,-0.291914015,-0.232909045,-0.159309754,0.689724942,0.318705062,-0.56177759,-0.464343798,-0.512930752,-0.441254389,-0.523681708,-0.552030024,0.123795978,-1.105881481,0
ZKFV71L-2011,-0.373983237,-0.516379908,-0.194405364,-0.885036076,-0.78479483,0.191299712,0.220998073,-1.245507799,0.361164333,-0.286260279,-0.446283719,-0.704004808,-0.319647606,-0.640252789,-0.196073989,-0.134540295,-0.209219099,0.144444676,-0.816345874,0.001734036,-1.163167156,3.307328588,0.609481986,-0.552770798,0.03104851,0.672075876,0.920820704,0.114280537,-0.183257695,0.987893923,-0.196540833,0.046768051,0.198105777,0.123462756,0.208887159,-0.679149474,0.968711908,0.753365075,0.031341163,-0.421118476,-1.010938744,-1.022839098,-1.067260926,-1.053317969,-1.042813379,-0.992399815,-0.988243721,-0.677754417,-1.190595646,-1.12243533,-0.906950572,-0.963487594,-1.052516245,-0.776277833,-1.125737548,-0.065479363,-1.464215733,0.056361285,-1.068254673,-0.860917017,-0.450972679,-0.450972679,-0.445864575,-0.426991992,-0.503379823,-0.894581751,-0.894609606,-0.897470788,3.327408584,-0.247969371,0.21037399,-0.824815979,-0.799445499,0.803723697,-0.456431638,2.800032727,2.797045707,-0.163637703,-0.141609941,-0.317370285,-0.053255794,1.73298073,-0.054217191,-0.469111868,-0.373317026,-0.206317341,-0.457986955,-0.34311053,-0.620693855,0.157420232,-0.527831687,0
ZKFV71L-6011,0.507112895,0.069204866,0.862225168,-0.885036076,-0.78479483,-0.975341387,-1.170449183,0.71165743,-0.809730614,1.48410707,-0.446283719,-0.704004808,1.726753848,-0.640252789,0.294768214,0.230388255,-1.045750991,-1.041273562,-0.816345874,-1.437829193,-0.119744931,1.943726585,0.476001543,2.003328941,-0.52690794,0.899658418,0.767688629,-0.099629927,0.242025985,1.422471971,0.591285536,-0.588573153,0.4763005,-0.254176861,0.075351082,0.754467002,0.715848689,0.362321771,-2.23395646,-0.673233395,-1.14382522,-1.190214452,-1.132686842,-1.241434841,-1.046555582,-1.117047253,-1.029442822,-1.13955925,-1.210333085,-1.087849781,-1.114917729,-0.96486521,-0.979802137,-0.905800002,-0.160506672,0.44361503,-1.273513387,1.573521274,-0.268303273,-0.419888828,-0.42813167,-0.42813167,-0.430022136,-0.437915359,-0.457705005,-0.917897035,-0.917931478,-0.849189121,-0.435737694,-0.499468906,1.276615494,-0.13750057,-0.797413075,-0.45852226,-0.419910306,2.89229754,2.894039948,-0.417286832,-0.138215079,-0.223915283,-0.066038008,1.036091798,0.065160726,-0.223731147,-0.294312017,-0.164784767,-0.462855995,-0.516790854,-0.600353213,0.535757931,-0.95009725,0
ZKFV71L-6021,-1.229542886,-0.5986416,-0.505545133,-0.885036076,-0.78479483,-0.433065646,-1.170449183,-0.672968453,-0.1707633,-0.289663787,-0.446283719,-0.704004808,-0.633607913,-0.640252789,-0.488231186,-0.994288393,-1.045750991,-0.160596036,-0.816345874,-0.239685622,-1.256790274,3.220800665,0.361027619,0.121253252,0.053203182,0.857211551,0.696150761,0.841285665,-0.812867604,1.18039689,-0.485547249,-0.025250156,-0.307745729,-0.026518045,0.754360093,-0.9700715,1.019251797,0.029290942,-2.307866455,-1.079739328,-1.00232172,-1.011749716,-0.558270209,-0.950359563,-1.074698122,-0.68438919,-1.093384242,-0.980051778,-1.151878013,-1.21477654,-0.901571133,-0.973717628,-0.76234553,-0.783095722,-0.690134577,1.97573194,-2.056608659,-0.046641145,-0.582087824,-0.966459888,-0.464046448,-0.464046448,-0.477372025,-0.436662975,-0.511978606,1.072529895,1.073057824,1.059689359,2.077281503,0.459156472,-0.428596755,-0.151080649,0.883812112,0.111914447,-0.420669502,1.531343889,1.532720646,-0.355308916,-0.0869821,-0.313852899,0.454320149,1.092836268,0.030897978,-0.39275437,-0.221441254,0.87965319,-0.44665479,-0.117121269,0.196979402,0.835574679,0.113851352,0
